ProductionDesigner;;;Y YT;;;Artist responsible for designing the overall visual appearance of a movie.;;Entity
Choregrapher;;;Y YT;;;The name of the choregrapher.;;Entity
CostumeDesigner;;;Y YT;;;The name of the costume designer.;;Entity
Actor;;;Y YT;;;Real name of actor or actress playing a role in the movie.;;Entity
Actor_Character;;;Y YT;;;Name of the character an actor or actress plays in this movie.;;Entity
WrittenBy;;;Y YT;;;The author of the story or script.;;Entity
ScreenplayBy;;;Y YT;;;The author of the screenplay or scenario (used for movies and TV shows).;;Entity
EditedBy;;;Y YT;;;Editor name;;Entity
Producer;;;Y YT;;;Name of the producer of the movie.;;Entity
CoProducer;;;Y YT;;;The name of a co-producer.;;Entity
ExecutiveProducer;;;Y YT;;;The name of an executive producer.;;Entity
DistributedBy;;;Y YT;;; ;;Entity
MasteredBy;;;Y YT;;;The engineer who mastered the content for a physical medium or for digital distribution.;;Entity
EncodedBy;;;Y YT;;;Name of the person or organisation that encoded/ripped the audio file.;;Entity
RemixedBy;;;Y YT;;;Interpreted, remixed, or otherwise modified by.;;Entity
ProductionStudio;;;Y YT;;; ;;Entity
ThanksTo;;;Y YT;;;A very general tag for everyone else that wants to be listed.;;Entity
Publisher;;;Y YT;;;Name of the organization producing the track (i.e. the 'record label').;;Entity
Publisher/URL;;;Y YT;;;Publishers official webpage.;;Entity
Label;;;Y YT;;;;;Entity
Genre;;;Y YT;;;The main genre of the audio or video. e.g. classical, ambient-house, synthpop, sci-fi, drama, etc.;;Classification
Mood;;;Y YT;;;Intended to reflect the mood of the item with a few keywords, e.g. Romantic, Sad, Uplifting, etc.;;Classification
ContentType;;;Y YT;;;The type of the item. e.g. Documentary, Feature Film, Cartoon, Music Video, Music, Sound FX, etc.;;Classification
Subject;;;Y YT;;;Describes the topic of the file, such as Aerial view of Seattle..;;Classification
Description;;;Y YT;;;A short description of the contents, such as Two birds flying.;;Classification
Keywords;;;Y YT;;;Keywords to the item separated by a comma, used for searching.;;Classification
Summary;;;Y YT;;;A plot outline or a summary of the story.;;Classification
Synopsys;;;Y YT;;;A description of the story line of the item.;;Classification
Period;;;Y YT;;;Describes the period that the piece is from or about. e.g. Renaissance.;;Classification
LawRating;;;Y YT;;;Depending on the country it's the format of the rating of a movie (P, R, X in the USA, an age in other countries or a URI defining a logo).;;Classification
LawRating_Reason;;;Y YT;;;Reason for the law rating;;Classification
ICRA;;;Y YT;;;The ICRA rating. (Previously RSACi);;Classification
Released_Date;;;Y YT;;;The time that the item was released.;;Temporal
Original/Released_Date;;;Y YT;;;The time that the item was originaly released.;;Temporal
Recorded_Date;;;Y YT;;;The time that the recording began.;;Temporal
Encoded_Date;;;Y YT;;;The time that the encoding of this item was completed began.;;Temporal
Tagged_Date;;;Y YT;;;The time that the tags were done for this item.;;Temporal
Written_Date;;;Y YT;;;The time that the composition of the music/script began.;;Temporal
Mastered_Date;;;Y YT;;;The time that the item was tranfered to a digitalmedium.;;Temporal
File_Created_Date;;;N NT;;;The time that the file was created on the file system;;Temporal
File_Modified_Date;;;N NT;;;The time that the file was modified on the file system;;Temporal
Recorded_Location;;;Y YT;;;Location where track was recorded. (See COMPOSITION_LOCATION for format);;Spatial
Written_Location;;;Y YT;;;Location that the item was originaly designed/written. Information should be stored in the following format: country code, state/province, city where the coutry code is the same 2 octets as in Internet domains, or possibly ISO-3166. e.g. US, Texas, Austin or US, , Austin.;;Spatial
Archival_Location;;;Y YT;;;;;Spatial
Encoded_Application;;;Y YT;;;Software. Identifies the name of the software package used to create the file, such as Microsoft WaveEdit.;;Technical
Encoded_Application/Url;;;N YT;;;Software. Identifies the name of the software package used to create the file, such as Microsoft WaveEdit.;;Technical
Encoded_Library;;;Y YT;;;The software or hardware used to encode this item. e.g. LAME or XviD;;Technical
Encoded_Library_Settings;;;Y YT;;;A list of the settings used for encoding this item. No specific format.;;Technical
Tagged_Application;;;Y YT;;;Software used to tag this file;;Technical
BPM;;;Y YT;;;Average number of beats per minute;;Technical
ISRC;;;Y YT;;;International Standard Recording Code, excluding the ISRC prefix and including hyphens.;;Identifier
ISBN;;;Y YT;;;International Standard Book Number.;;Identifier
BarCode;;;Y YT;;;EAN-13 (13-digit European Article Numbering) or UPC-A (12-digit Universal Product Code) bar code identifier.;;Identifier
LCCN;;;Y YT;;;Library of Congress Control Number.;;Identifier
CatalogNumber;;;Y YT;;;A label-specific catalogue number used to identify the release. e.g. TIC 01.;;Identifier
LabelCode;;;Y YT;;;A 4-digit or 5-digit number to identify the record label, typically printed as (LC) xxxx or (LC) 0xxxx on CDs medias or covers, with only the number being stored.;;Identifier
Owner;;;Y YT;;;Owner of the file;;Legal
Copyright;;;Y YT;;;Copyright attribution.;;Legal
Copyright/Url;;;Y YT;;;Copyright/legal information.;;Legal
Producer_Copyright;;;Y YT;;;The copyright information as per the productioncopyright holder.;;Legal
TermsOfUse;;;Y YT;;;License information, e.g., All Rights Reserved,Any Use Permitted.;;Legal
Broadcaster;;;Y YT;;;;;Legal
Broadcaster/Owner;;;Y YT;;;;;Legal
Broadcaster/Url;;;Y YT;;;;;Legal
Cover;;;Y YT;;;Is there a cover;;Info
Cover_Description;;;Y YT;;;;;Info
Cover_Type;;;Y YT;;;;;Info
Cover_Mime;;;Y YT;;;;;Info
Cover_Data;;;N YT;;;Cover, in binary format encoded BASE64;;Info
Lyrics;;;Y YT;;;;;Info
Comment;;;Y YT;;;Any comment related to the content.;;Personal
Rating;;;Y YT;;;A numeric value defining how much a person likes the song/movie. The number is between 0 and 5 with decimal values possible (e.g. 2.7), 5(.0) being the highest possible rating.;;Personal
