MacCopyright; Copyright 2002-2012 MediaArea.net SARL
MacCreatedBy; Графический интерфейс для Mac создал Max Pozdeev
MediaInfoWebsite; Вебсайт MediaInfo
GeneralPreferences; Основные
Default; По умолчанию
LanguageChanges; Смена языка произойдет при следующем запуске программы
ErrorHeader; Ошибка
OpenError; Невозможно открыть файл(ы)
SaveError; Невозможно сохранить файл
