Main source;http://xmm.sourceforge.net/DivX5-6_Xvid_Bitstream_version.php;
DivX503b2510;DivX 6.8.0  ;UTC 2007-12-04
DivX503b2432;DivX 6.7.0 ;UTC 2007-09-20
DivX503b2396;DivX 6.7 beta ;UTC 2007-08-26
DivX503b2318;DivX 6.6.1.4 ;
DivX503b2309;DivX 6.6.1 ;
DivX503b2306;DivX 6.6.1 ;
DivX503b2292;DivX 6.6.0 ;UTC 2007-05-04
DivX503b2207;DivX 6.5.1;UTC 2007-03
DivX503b2201;DivX 6.5.0;UTC 2006-12
DivX503b2086;DivX 6.4.0;UTC 2006-10-03
DivX503b2081;DivX 6.4.0Beta1;UTC 2006-09-27
DivX503b1988;DivX 6.2.5;UTC 2006-07
DivX503b1977;DivX 6.2.5;UTC 2006-06-16
DivX503b1920;DivX 6.2.2;UTC 2006-04-26
DivX503b1915;DivX 6.2.1Patch1Beta;UTC 2006-04
DivX503b1913;DivX 6.2.1;UTC 2006-04
DivX503b1910;DivX 6.2.0;UTC 2006-04-11
DivX503b1893;DivX 6.2.0Beta1;UTC 2006-03-25
DivX503b1828;DivX 6.1.1;UTC 2006-02-01
DivX503b1786;DivX 6.1.0;UTC 2005-12-12
DivX503b1737;DivX He-3(TwinTurbocharger);UTC 2005-12
DivX503b1697;DivX 6.0.3Fusion(ThermonuclearFusion);UTC 2005-10-18
DivX503b1612;DivX 6.0.0Helium(GodFatherOfSoul);UTC 2005-06-15
DivX503b1599;DivX 6.0.0Helium;UTC 2005-06
DivX503b1594;DivX 6.0.0(DivX Converter1.0);UTC 2005-06
DivX503b1571;DivX 6.0.0;UTC 2005-06-15
DivX503b1528;DivX 5.9.0Fusion(HiggsBoson);UTC 2005-03-05
DivX503b1461;DivX 5.9.0Fusion(HiggsBoson);UTC 2005-01
DivX503b1453;DivX 5.9.0Fusion(InertialConfinement);UTC 2005-01
DivX503b1408;DivX 5.3.0PlasmaAlpha(CoreBurn);UTC 2004-10
DivX503b1394;DivX 5.3.0PlasmaAlpha(Tritium);UTC 2004-09-08
DivX503b1338;DivX 5.2.1(DrDivX 106);UTC 2004-09-08
DivX503b1328;DivX 5.2.1(WaffleDay);UTC 2004-09-08
DivX503b1314;DivX 5.2.1Beta;UTC 2004-09-08
DivX503b1307;DivX 5.2.1Alpha;UTC 2004-09-08
DivX503b1272;DivX 5.2.0(DrDivX 105);UTC 2004-07-17
DivX503b1263;DivX 5.2.0;UTC 2004-07-15
DivX503b1031;DivX 5.1.1(Maupiti);UTC 2003-11-19
DivX503b1025;DivX 5.1.1Beta2;UTC 2003-11
DivX503b1009;DivX 5.1.1Beta1;UTC 2003-10-21
DivX503b0985;DivX 5.1.0(HD?);UTC 2003-10
DivX503b959;DivX 5.1.0;UTC 2003-09-02
DivX503b936;DivX 5.1.0Beta2(Kaukura);UTC 2003-08-02
DivX503b922;DivX 5.1.0Beta1(Manihi);UTC 2003-07-26
DivX503b894;DivX 5.0.5Kauehi;UTC 2003-07-02
DivX503b830;DivX 5.0.5;UTC 2003-04-24
DivX503b822;DivX 5.0.4;UTC 2003-04-17
DivX503b814;DivX 5.0.4Beta4(Schizo);UTC 2003-01
DivX503b804;DivX 5.0.4Beta3(Schizo);UTC 2003-01
DivX503b795;DivX 5.0.4Beta1or2(Schizo);UTC 2003-01
DivX503b740;DivX 5.0.3;UTC 2003-01-24
