alac;;4CC;ALAC;;VBR;Apple Lossless Format (similar to FLAC);http://www.apple.com/quicktime/download/standalone.html
sac3;;4CC;AC-3;;CBR;AC3 in MP4 (made in Nero);http://www.nerodigital.com
in24;;4CC;PCM;;;;http://www.apple.com/quicktime/download/standalone.html
in32;;4CC;PCM;;;;http://www.apple.com/quicktime/download/standalone.html
fl32; ;4CC;PCM ;;;;http://www.apple.com/quicktime/download/standalone.html
fl64;;4CC;PCM;;;;http://www.apple.com/quicktime/download/standalone.html
alaw;;4CC;ADPCM;A-Law;CBR;;http://www.apple.com/quicktime/download/standalone.html
ulaw;;4CC;ADPCM;U-Law;CBR;;http://www.apple.com/quicktime/download/standalone.html
0;;2CC;;;;;
1;Microsoft;2CC;PCM;;CBR;;http://www.microsoft.com/windows/
2;;2CC;ADPCM;;CBR;Microsoft ADPCM;http://www.microsoft.com/windows/
3;;2CC;PCM;;CBR;IEEE FLOAT;http://www.microsoft.com/windows/
4;;2CC;VSELP;;CBR;Compaq VSELP;
5;;2CC;CVSD;;;IBM CVSD;
6;;2CC;ADPCM;A-Law;CBR;CCITT A-Law;http://www.microsoft.com/windows/
7;;2CC;ADPCM;U-Law;CBR;CCITT U-Law;http://www.microsoft.com/windows/
8;;2CC;DTS;;CBR;;
9;;2CC;DRM;;;Microsoft;
A;;2CC;WMSpeech;;;;
C;;2CC;MPEG Audio;5.1;;MPEG2 5.1;
10;;2CC;ADPCM;;CBR;OKI ADPCM;
11;;2CC;ADPCM;;CBR;Intel ADPCM;
12;;2CC;ADPCM;;CBR;Mediaspace (Videologic) ADPCM;
13;;2CC;ADPCM;;CBR;Sierra ADPCM;
14;;2CC;ADPCM;;CBR;Antex G723 ADPCM;
15;;2CC;STD;;;DSP solutions Digi-STD;
16;;2CC;FIX;;;DSP solutions Digi-FIX;
17;;2CC;ADPCM;;CBR;Dialogic-OKI ADPCM;http://www.microsoft.com/windows/
18;;2CC;ADPCM;;CBR;;
19;;2CC;CU;;;HP CU_CODEC;
1A;;2CC;Dynamic Voice;;;HP;
20;;2CC;ADPCM;;CBR;Yamaha ADPCM;
21;;2CC;SONARC;;;Speech Compression SONARC;
22;;2CC;Truespeech;;;DSP Group TrueSpeech;http://www.microsoft.com/windows/
23;;2CC;SC1;;;Echo Speech SC1;
24;;2CC;AF36;;;Virtual Music AudioFile 36;
25;;2CC;APTX;;;Audio Processing Technology X;
26;;2CC;AF10;;;Virtual Music AudioFile 10;
27;;2CC;Prosody 1612;;;Aculab plc Prosody 1612;
28;;2CC;LRC;;;Merging Technologies LRC;
30;;2CC;AC2;;;Dolby Laboratories AC2;
31;;2CC;GSM 6.10;;;Microsoft GSM 6.10;http://www.microsoft.com/windows/
32;;2CC;MSAUDIO;;;Microsoft Audio;
33;;2CC;ADPCM;;CBR;Antex ADPCM;
34;;2CC;VQLPC;;;Control Ressources VQLPC;
35;;2CC;REAL;;;DSP Solutions Digi-REAL;
36;;2CC;ADPCM;;CBR;DSP Solutions Digi-ADPCM;
37;;2CC;CR10;;;Control Resources 10;
38;;2CC;ADPCM;;CBR;Natural MicroSystems VBX ADPCM;
39;;2CC;ADPCM;;CBR;Crystal Semiconductor IMA ADPCM;
3A;;2CC;SC3;;;Echo Speech SC3;
3B;;2CC;ADPCM;;CBR;Rockwell ADPCM;
3C;;2CC;DigiTalk;;;Rockwell DigiTalk;
3D;;2CC;Xebec;;;Xebec Multimedia Solutions;
40;;2CC;ADPCM;;CBR;Antex Electronics G721 ADPCM;
41;;2CC;CELP;;;Antex Electronics G728 CELP;
42;;2CC;G.723.1;;CBR;Microsoft G.723.1;http://www.microsoft.com/windows/
42;;2CC;ADPCM;;CBR;IBM;
42;;2CC;G.729;;CBR;Microsoft;
45;;2CC;ADPCM;;CBR;Microsoft G.726;http://www.microsoft.com/windows/
50;MP1;2CC;MPEG Audio;Layer 1;;;http://www.iis.fraunhofer.de/amm/index.html
51;MP2;2CC;MPEG Audio;Layer 2;;;http://www.iis.fraunhofer.de/amm/index.html
52;;2CC;RT24;;;InSoft, Inc.;
53;;2CC;PAC;;;InSoft, Inc.;
55;MP3;2CC;MPEG Audio;Layer 3;;;http://www.iis.fraunhofer.de/amm/index.html
59;;2CC;G.723;;CBR;Lucent G723;
60;;2CC;Cirrus;;;Cirrus Logic;
61;;2CC;PCM;;CBR;ESS Technology PCM;
62;;2CC;Voxware;;;;
63;;2CC;Atrac;;;Canopus ATRAC;
64;;2CC;ADPCM;;CBR;APICOM G726 ADPCM;
65;;2CC;ADPCM;;CBR;APICOM G722 ADPCM;
66;;2CC;DSAT;;;Microsoft DSAT;
67;;2CC;DSAT Display;;;Microsoft DSAT DISPLAY;
69;;2CC;BYTE_ALIGNED;;;Voxware BYTE_ALIGNED;http://www.voxware.com/
70;;2CC;AC8;;;Voxware AC8;http://www.voxware.com/
71;;2CC;AC10;;;Voxware AC10;http://www.voxware.com/
72;;2CC;AC16;;;Voxware AC16;http://www.voxware.com/
73;;2CC;AC20;;;Voxware AC20;http://www.voxware.com/
74;;2CC;RT24;;;Voxware RT24 (MetaVoice);http://www.voxware.com/
75;;2CC;RT29;;;Voxware RT29 (MetaSound);http://www.voxware.com/
76;;2CC;RT29HW;;;Voxware RT29HW;http://www.voxware.com/
77;;2CC;VR12;;;Voxware VR12;http://www.voxware.com/
78;;2CC;VR18;;;Voxware VR18;http://www.voxware.com/
79;;2CC;TQ40;;;Voxware TQ40;http://www.voxware.com/
7A;;2CC;SC3;;;Voxware;
7B;;2CC;SC3;;;Voxware;
80;;2CC;Softsound;;;;
81;;2CC;TQ60;;;Voxware TQ60;http://www.voxware.com/
82;;2CC;MSRT24;;;Microsoft MSRT24;
83;;2CC;G.729a;;CBR;AT&T G729A;
84;;2CC;MVI_MVI2;;;Motion Pixels MVI_MVI2;
85;;2CC;ADPCM;;CBR;DataFusion Systems (Pty) G726;
86;;2CC;GSM 6.10;;;DataFusion Systems (Pty) GSM6.10;
88;;2CC;ISI AUDIO;;;Iterated Systems AUDIO;
89;;2CC;Onlive;;;OnLive! Technologies;
