AVDV;Avid DV;4CC;Digital Video;;;Avid DV;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVI1;MainConcept;4CC;M-JPEG;;;MainConcept M-JPEG;
AVI2;MainConcept;4CC;M-JPEG;;;MainConcept M-JPEG;
AVID;Avid;4CC;M-JPEG;;;Avid M-JPEG;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVIS;;4CC;AviSynth;;;Wrapper for AviSynth (Dummy);http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
AVMP;;4CC;Avid IMX;;;Avid IMX (Quick Time);http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVR ;Avid NuVista;4CC;M-JPEG;;;Avid ABVB/NuVista M-JPEG with Alpha-channel;
AVRn;Avid M-JPEG;4CC;M-JPEG;;;Avid M-JPEG;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVRN;Avid M-JPEG;4CC;M-JPEG;;;Avid M-JPEG;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVUI;;4CC;Avid;;;Avid Meridien Uncompressed with Alpha-channel;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVUP;;4CC;Avid;;;Avid 10bit Packed (Quick Time);http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AYUV;YUV;4CC;YUV;;;4:4:4 YUV (AYUV);
AZPR;;4CC;QuickTime;;;Quicktime Apple Video;http://www.apple.com/quicktime/download/standalone.html
AZRP;;4CC;QuickTime;;;Quicktime Apple Video;http://www.apple.com/quicktime/download/standalone.html
BGR ;RGB;4CC;RGB;;;Uncompressed RGB32;
BHIV;;4CC;BeHere iVideo;;;BeHere iVideo;
BINK;;4CC;Bink;;;RAD Game Tools Bink Video;
BIT ;RGB;4CC;RGB;;;Uncompressed. BI_BITFIELDS;
BITM;;4CC;H.261;;;Microsoft H.261;
BLOX;;4CC;Blox;;;Jan Jezabek BLOX MPEG;http://www.ii.uj.edu.pl/~jezabek/blox/blox-0.1.0b.zip
BLZ0;DivX;4CC;MPEG-4 Visual;;;DivX for Blizzard Decoder Filter;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
BT20;;4CC;MediaStream;;;Conexant ProSummer MediaStream;
BTCV;;4CC;Composite;;;Conexant Composite Video;
BTVC;;4CC;Composite;;;Conexant Composite Video;
BW00;BergWave;4CC;Wavelet;;;BergWave (Wavelet);
BW10;Broadway;4CC;MPEG-1;;;Data Translation Broadway MPEG Capture/Compression;
BXBG;;4CC;Boxx RGB;;;BOXX BGR;
BXRG;;4CC;Boxx RGB;;;BOXX RGB;
BXY2;;4CC;Boxx YUV;;;BOXX 10-bit YUV;
BXYV;;4CC;Boxx YUV;;;BOXX YUV;
CC12;Intel;4CC;YUV;;;Intel YUV12;
CDV5;Canopus;4CC;Digital Video;;;Canopus SD50/DVHD;http://www.cineform.com/products/ConnectHD.htm
CDVC;Canopus;4CC;Digital Video;;;Canopus Digital Video (DV);http://www.cineform.com/products/ConnectHD.htm
CDVH;Canopus;4CC;Digital Video;;;Canopus SD50/DVHD;http://www.cineform.com/products/ConnectHD.htm
CFCC;;4CC;Perception;;;DPS Perception M-JPEG (dummy format - only AVI header);
CFHD;;4CC;CineForm HD;;;CineForm 10-bit Visually Perfect HD (Wavelet);
CGDI;;4CC;Camcorder;;;Camcorder Video (MS Office 97);
CHAM;;4CC;Champagne;;;Winnov Caviara Champagne;
CJPG;Creative;4CC;M-JPEG;;;Creative Video Blaster Webcam Go JPEG;
CLJR;;4CC;YUV;;;Cirrus Logic YUV 4:1:1;http://www.fourcc.org/indexyuv.htm
CLLC;;4CC;Canopus;;;Canopus LossLess;
CLPL;;4CC;YUV;;;Format similar to YV12 but including a level of indirection.;
CM10;;4CC;MediaShow;;;CyberLink Corporation;http://www.cyberlink.com
CMYK;;4CC;CMYK;;;Common Data Format in Printing;
COL0;;4CC;MPEG-4 Visual;;;Hacked MS MPEG-4 v3;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
COL1;;4CC;MPEG-4 Visual;;;Hacked MS MPEG-4 v3;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
CPLA;;4CC;YUV;;;Weitek YUV 4:2:0 Planar;
CRAM;;4CC;MS Video;;;Microsoft Video 1;
CSCD;;4CC;CamStudio;;;RenderSoft CamStudio lossless (LZO & GZIP compression);
CT10;;4CC;TalkingShow;;;CyberLink Corporation;http://www.cyberlink.com
CTRX;;4CC;Citrix;;;Citrix Scalable Video;
CUVC;;4CC;Canopus HQ;;;Canopus HQ;
CVID;;4CC;Cinepack;;;Cinepak by CTi (ex. Radius) Vector Quantization;http://www.cinepak.com/text.html
cvid;;4CC;Cinepack;;;Cinepak by CTi (ex. Radius) Vector Quantization;http://www.apple.com/quicktime/download/standalone.html
CWLT;;4CC;WLT;;;Microsoft Color WLT DIB;
CYUV;;4CC;YUV;;;Creative Labs YUV 4:2:2;http://www.fourcc.org/indexyuv.htm
CYUY;;4CC;YUV;;;ATI Technologies YUV;http://www.fourcc.org/indexyuv.htm
D261;;4CC;H.261;;;DEC H.261;
D263;;4CC;H.263;;;DEC H.263;
DAVC;;4CC;AVC;;;Dicas MPEGable H.264/MPEG-4 AVC base profile;
DC25;MainConcept;4CC;Digital Video;;;MainConcept ProDV;
DCAP;Pinnacle;4CC;Digital Video;;;Pinnacle DV25;
DCL1;;4CC;Data Connextion;;;Data Connection Conferencing;
DCT0;;4CC;WniWni;;;WniWni;
DFSC;;4CC;VFW;;;DebugMode FrameServer VFW;
DIB ;;4CC;RGB;;;Device Independent Bitmap;
DIV1;FFMpeg;4CC;MPEG-4 Visual;;;FFmpeg-4 V1 (hacked MS MPEG-4 V1);http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
DIV2;MS MPEG-4 1/2;4CC;MPEG-4 Visual;;;;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
DIV3;DivX 3 Low;4CC;MPEG-4 Visual;;;;http://www.divx.com
DIV4;DivX 3 Fast;4CC;MPEG-4 Visual;;;;http://www.divx.com
DIV5;DivX 5;4CC;MPEG-4 Visual;;;;http://www.divx.com
DIV6;MS MPEG-4 v3;4CC;MPEG-4 Visual;;;MS MPEG-4 v3;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
DIVX;DivX 4;4CC;MPEG-4 Visual;;;Project Mayo DivX 4;http://www.divx.com
divx;DivX;4CC;MPEG-4 Visual;;;Mainly used by Google;http://www.divx.com
DJPG;Broadway 101;4CC;M-JPEG;;;Data Translation, Inc.;
DM4V;Dicas;4CC;MPEG-4 Visual;;;Dicas MPEGable MPEG-4;
DMB1;Rainbow;4CC;M-JPEG;;;Matrox Rainbow Runner hardware compression;http://mirror01.iptelecom.net.ua/~video/codecs/PICVideo.MJPG.v2.10.27.codec.exe
DMB2;Paradigm;4CC;M-JPEG;;;M-JPEG used by Paradigm;
DMK2;;4CC;V36 PDA;;;ViewSonic V36 PDA Video;
DP02;DynaPel;4CC;MPEG-4 Visual;;;DynaPel MPEG-4;
DP16;YUV411;4CC;YUV;;;Matsushita Electric Industrial Co., Ltd. (With DPCM 6-bit compression);
DP18;YUV411;4CC;YUV;;;Matsushita Electric Industrial Co., Ltd. (With DPCM 8-bit compression)
DP26;YUV422;4CC;YUV;;;Matsushita Electric Industrial Co., Ltd. (With DPCM 6-bit compression)
DP28;YUV422;4CC;YUV;;;Matsushita Electric Industrial Co., Ltd. (With DPCM 8-bit compression)
DP96;YVU9;4CC;YUV;;;Matsushita Electric Industrial Co., Ltd. (With DPCM 6-bit compression)
DP98;YVU9;4CC;YUV;;;Matsushita Electric Industrial Co., Ltd. (With DPCM 8-bit compression)
DP9L;YVU9;4CC;YUV;;;Matsushita Electric Industrial Co., Ltd. (With DPCM 6-bit compression)
DPS0;DPS Reality;4CC;M-JPEG;;;DPS Reality M-JPEG (dummy format - only AVI header)
DPSC;DPS PAR;4CC;M-JPEG;;;DPS PAR M-JPEG (dummy format - only AVI header)
DRWX;Pinnacle;4CC;Digital Video;;;Pinnacle DV25
DSVD;;4CC;Digital Video;;;Microsoft DirectShow DV
DTMT;;4CC;Media-100;;;Media-100
DTNT;;4CC;Media-100;;;Media-100
DUCK;;4CC;TrueMotion S;;;Duck Corporation True Motion S
DV10;;4CC;BlueFish;;;BlueFish444 (lossless RGBA, YUV 10-bit)
DV25;DVCPro;4CC;Digital Video;;;Matrox DVCPRO
DV50;DVCPro5;4CC;Digital Video;;;Matrox DVCPRO50
DVAN;Pinnacle DV300;4CC;Digital Video;;;Pinnacle miroVideo DV300 SW only;
DVC ;Apple;4CC;Digital Video;;;Apple QuickTime DV (DVCPRO NTSC);http://www.apple.com/quicktime/download/standalone.html
dvc ;Apple;4CC;Digital Video;;;Apple QuickTime DV (DVCPRO NTSC);http://www.apple.com/quicktime/download/standalone.html
DVCP;Apple;4CC;Digital Video;;;Apple QuickTime DV (DVCPRO PAL);http://www.apple.com/quicktime/download/standalone.html
dvcp;Apple;4CC;Digital Video;;;Apple QuickTime DV (DVCPRO PAL);http://www.apple.com/quicktime/download/standalone.html
DVCS;MainConcept;4CC;Digital Video;;;MainConcept DV;
DVE2;Insoft DVE-2;4CC;Digital Video;;;InSoft DVE-2 Videoconferencing;
DVH1;Pinnacle;4CC;Digital Video;;;Pinnacle DVHD100;
dvhd;DV HD;4CC;Digital Video;;;DV 1125 lines at 30.00 Hz or 1250 lines at 25.00 Hz;
DVIS;DualMoon;4CC;Digital Video;;;VSYNC DualMoon Iris DV;
DVL ;;4CC;Digital Video;;;Radius SoftDV 16:9 NTSC;
DVLP;;4CC;Digital Video;;;Radius SoftDV 16:9 PAL;
DVMA;Darim;4CC;Digital Video;;;Darim Vision DVMPEG (dummy for MPEG compressor);
DVNM;;4CC;DVNM;;;Matsushita Electric Industrial Co., Ltd.;
DVOR;;4CC;BlueFish;;;BlueFish444 (lossless RGBA, YUV 10-bit);
DVPN;Apple;4CC;Digital Video;;;Apple QuickTime DV (DV NTSC);
DVPP;Apple;4CC;Digital Video;;;Apple QuickTime DV (DV PAL);
DVR ;MPEG-2 Video;4CC;MPEG Video;;;MPEG-2 Video in a ASF container;
DVR1;;4CC;Targa2000;;;TARGA2000;
DVRS;DualMoon;4CC;Digital Video;;;VSYNC DualMoon Iris DV;
DVSD;;4CC;Digital Video;;;IEC 61834 and SMPTE 314M;
dvsd;Sony;4CC;Digital Video;;;Sony Digital Video (DV) 525 lines at 29.97 Hz or 625 lines at 25.00 Hz;
dvsl;Sony;4CC;Digital Video;;;Sony Digital Video (DV) 525 lines at 29.97 Hz or 625 lines at 25.00 Hz;
DVSL;;4CC;Digital Video;;;DV compressed in SD (SDL);
DVX1;;4CC;DVX 1 SP;;;Lucent DVX1000SP Video Decoder;
DVX2;;4CC;DVX 2 S;;;Lucent DVX2000S Video Decoder;
DVX3;;4CC;DVX 3 S;;;Lucent DVX3000S Video Decoder;
DX50;DivX 5;4CC;MPEG-4 Visual;;;;http://www.divx.com
DXGM;;4CC;EA GameVideo;;;Electronic Arts Game Video;
DXT1;;4CC;DirectX TC;;;DirectX Compressed Texture (1bit alpha channel);
DXT2;;4CC;DirectX TC;;;DirectX Compressed Texture;
DXT3;;4CC;DirectX TC;;;DirectX Compressed Texture (4bit alpha channel);
DXT4;;4CC;DirectX TC;;;DirectX Compressed Texture;
DXT5;;4CC;DirectX TC;;;DirectX Compressed Texture (3bit alpha channel with interpolation);
DXTC;;4CC;DirectX TC;;;DirectX Texture Compression;
DXTn;;4CC;DirectX TC;;;Microsoft Compressed Texture;
DXTN;;4CC;DirectX TC;;;Microsoft DirectX Compressed Texture (DXTn);
EKQ0;;4CC;Elsa KQ;;;Elsa graphics card quick;
ELK0;;4CC;Elsa LK;;;Elsa graphics card;
EM2V;;4CC;Elymonyx MPEG-2;;;Etymonix MPEG-2 I-frame;
EQK0;;4CC;Elsa;;;Elsa graphics card quick;
ESCP;;4CC;Escape;;;Eidos Escape;
ETV1;;4CC;eTreppid 1;;;eTreppid Video 1;
ETV2;;4CC;eTreppid 2;;;eTreppid Video 2;
ETVC;;4CC;eTreppid C;;;eTreppid Video C;
FFDS;;4CC;FFDS;;;FFDShow supported;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
FFV1;;4CC;FFV1;;;FFDShow supported;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
FFVH;;4CC;FFVH;;;FFDShow supported;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
FLIC;;4CC;FLI/FLC;;;Autodesk FLI/FLC Animation;
FLJP;;4CC;DField M-JPEG;;;D-Vision Field Encoded M-JPEG with LSI (or Targa emulation);
FLV1;;4CC;FFDS;;;FFDShow supported;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
FLV4;;4CC;VP6;;;Flash, On2 Technologies;http://www.on2.com
FMJP;;4CC;D-Vision M-JPEG;;;D-Vision fieldbased ISO M-JPEG;
FMP4;;4CC;MPEG-4 Visual;;;;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
FPS1;;4CC;FRAPS;;;;http://www.fraps.com/
FRLE;;4CC;SoftLab-Nsk M-JPEG;;;SoftLab-NSK Y16 + Alpha RLE;
FRWA;;4CC;SoftLab-Nsk M-JPEG (w Alpha);;;SoftLab-NSK Vision Forward M-JPEG with Alpha-channel;
FRWD;;4CC;SoftLab-Nsk M-JPEG;;;SoftLab-NSK Vision Forward M-JPEG;
FRWT;;4CC;SoftLab-Nsk M-JPEG;;;SoftLab-NSK Vision Forward M-JPEG with Alpha-channel;
FRWU;;4CC;SoftLab-Nsk M-JPEG;;;SoftLab-NSK Vision Forward Uncompressed;
FVF1;;4CC;Itered Fractal;;;Iterated Systems Fractal Video Frame;
FVFW;;4CC;FVFW;;;FFDShow supported;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
FXT1;;4CC;3DFX;;;3dfx Interactive, Inc.;
