Main source;http://xmm.sourceforge.net/DivX5-6_Xvid_Bitstream_version.php;
1;0.0.01;UTC 2002-10-17
2;0.0.02;UTC 2002-10-30
3;0.0.03;UTC 2002-12-09
4;0.0.04;UTC 2003-01
5;0.0.05;UTC 2003-01-11
6;0.0.06;UTC 2003-01-12
7;0.0.07;UTC 2003-01-13
8;0.0.08;UTC 2003-01-14
9;0.0.09;UTC 2003-03-25
10;0.0.10;UTC 2003-06-09
11;0.0.11;UTC 2003-06-09
12;0.0.12;UTC 2003-06-11
13;0.0.13;UTC 2003-06-11
14;0.0.14;UTC 2003-06-28
15;0.0.15;UTC 2003-07-28
16;0.0.16;UTC 2003-07-28
17;0.0.17;UTC 2003-08-06
18;0.0.18;UTC 2003-09-04
19;0.0.19;UTC 2003-09-28
20;0.0.20;UTC 2003-10-09
21;1.0.0 Beta1 (Aloha);UTC 2003-11-29
22;1.0.0 Beta1.5;UTC 2003-12-03
23;1.0.0 Beta2 (Ciao);UTC 2003-12-06
24;1.0.0 Beta2.5;UTC 2003-12-18
25;1.0.0 Beta3 (Selam);UTC 2003-12-27
26;1.0.0 RC1 (Niltze);UTC 2004-01-26
27;1.0.0 RC1b;UTC 2004-01-30
28;1.0.0 RC2 (Jambo);UTC 2004-02-01
29;1.0.0 RC3 (Nihao);UTC 2004-03-22
30;1.0.0 RC4 (Hola);UTC 2004-04-05
31;1.0.0 RC4b;UTC 2004-04-15
32;1.0.0 RC4c;UTC 2004-05-02
33;1.0.0 RC4d;UTC 2004-05-03
34;1.0.0;UTC 2004-05-09
35;1.0.1;UTC 2004-06-05
36;1.0.2;UTC 2004-08-29
37;1.0.3;UTC 2004-12-20
38;1.1.0 Beta1;UTC 2005-01-16
39;1.1.0 Beta2;UTC 2005-04-04
40;1.1.0 RC;UTC 2005-11-22
41;1.1.0;UTC 2005-11-22
42;1.2.0.dev42;UTC 2005-12
43;1.2.0SMP;UTC 2006-01-08
44;1.1.1;UTC 2006-07-10
45;1.2.0.dev45;UTC 2006-07-10
46;1.1.2;UTC 2006-11-01
47;1.2.0.dev47;UTC 2006-11-01
48;1.2.0.dev48;
49;1.2.0.dev49;
50;1.2.1;UTC 2008-12-04
55;1.3.0.dev55;
